Legislation,Offence
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.18(1),Engage in sexual activity in presence of child aged under 13 offender 18 or over
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.18(1),Engage in sexual activity in presence of child aged under 16 offender 18 or over
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.18(1)+ARTICLE.20,Engage in sexual activity in presence of child u13 offender is child/young person
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.18(1)+ARTICLE.20,Engage in sexual activity in presence of child u16 offender is child/young person
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.19(1),Cause child under 13 to watch sexual act
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.19(1),Cause child under 16 to watch a sexual act
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.19(1)+ARTICLE.20,Cause child under 13 to watch sexual act offender is child/young person
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.19(1)+ARTICLE.20,Cause child under 16 to watch sexual act offender is child/young person
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.21,Arrange/facilitate the commission of a child sex offence
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.22,Meet or communicate with female child under 16 following sexual grooming - offender 18 or over
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.22,Meet or communicate with male child under 16 following sexual grooming - offender 18 or over
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.22,Adult meet girl under 16 following sexual grooming
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.22,Adult meet boy under 16 following sexual grooming
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.22A,Sexual Communication with a Child (Sexting)
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.23(1),Sexual activity with male under 13 offender 18 or over abuse of position of trust
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.23(1),Sexual activity with female u.13 offender 18 or over - abuse of position of trust - institution
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.23(1),Sexual activity with male u.13 offender 18 or over - abuse of position of trust - institution
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.23(1)),Sexual act with female 13/17 offender does not believe victim 18+ abuse of position of trust - institution
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.23(1),Sexual act with male 13/17 offender does not believe victim 18+ abuse of position of trust - institution
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.23(1),Sexual activity with female under 13 offender 18 or over abuse of position of trust
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.23(1),Sexual activity with female 13-17 offender does not believe victim is over 18 abuse of position of trust
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.23(1),Sexual activity with male 13-17 offender does not believe victim is 18 or over abuse of position of trust
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.24(1),Cause/incite sexual activity with female u.13 offender 18 or over abuse of position of trust article. 28 premises
SEXUAL OFFENCES (NORTHERN IRELAND) 0RDER 2008 ARTICLE.24(1),Cause/incite sexual activity with male u.13 offender 18 or over abuse of position of trust article.28 premises
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.24(1),Cause/incite sexual activity with female 13/17 offender 18 or over abuse of position of trust article.28 premises
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.24(1),Cause/incite sexual activity with male 13/17 offender 18 or over abuse of position of trust article.28 premises
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.24(1),Cause/incite sexual activity with female under 13 offender 18 or over abuse of position of trust
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.24(1),Cause/incite sexual activity with male under 13 offender 18 or over abuse of position of trust
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.24(1),Cause/incite sexual activity with female 13-17 offender 18 or over abuse of position of trust
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.24(1),Cause/incite sexual activity with male 13-17 offender 18 or over-abuse of position of trust
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.25(1),Sexual activity in presence of child 13/17 offender 18 or over abuse of position of trust Article.28 premises
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.25(1),Cause child under 13 to watch sexual act offender 18 or over abuse of position of trust Article.28 premises
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.25(1),Cause child 13/17 to watch sexual act offender 18 or over abuse of position of trust Article.28 premises
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.25(1),Sexual activity in presence of child under 13 offender 18 or over abuse of position of trust Article.28 premises
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.25(1),Sexual activity in presence of child under 13 - offender 18 or over - abuse of position of trust
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.25(1),Sexual activity in presence of child 13 to 17 - offender 18 or over - abuse of position of trust
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.26(1),Cause child under 13 to watch sexual act - offender 18 or over - abuse of position of trust
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.26(1),Cause child 13 to 17 to watch sexual act - offender 18 or over - abuse of position of trust
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE 27,"Abuse of position of trust: offences done in England, Wales or Scotland"
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.32(1),Sex act with female child family member 13 to 17 offender u 18 penetrate anus vagina mouth by penis/body par
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.32(1),Sex act with male child family member 13 to 17 offender u 18 penetrate anus vagina mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.32(1),Sexual activity with male child family member 13 to 17 - offender under 18 - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.32(1),Sex act female child family member 13/17 - offender 18+ - penetration anus/vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.32(1),Sex act male child family member 13/17 - offender 18+ - penetration anus/ vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.32(1),Sexual activity with female child family member 13 to 17 offender 18 or over no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.32(1),Sexual activity with male child family member 13 to 17 offender 18 or over no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.32(1),Sex act with female child family member u 13 offender u 18 penetrate anus vagina mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.32(1),Sex act with male child family member u 13 offender u 18 penetrate anus vagina mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.32(1),Sexual activity with female child family member under 13 - offender under 18 - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.32(1),Sexual activity with male child family member under 13 - offender under 18 - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.32(1),Sex act with female child family member u13 - offender 18+ - penetration anus/vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.32(1),Sex act male child family member u13 - offender 18+ - penetration of anus/ vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.32(1),Sexual activity with female child family member under 13-offender 18 or over- no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.32(1),Sexual activity with male child family member under 13-offender 18 or over - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.32(1),Sexual activity with female child family member 13 to 17 - offender under 18 - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.33(1),Incite female child family member aged 13 to 17 offender 18 or over to engage sexual act no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.33(1),Incite male child family member aged 13 to 17 offender 18 or over to engage in sexual activity no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.33(1),Incite female child family member 13-17 engage sex act off u18 penetrate anus vagina mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.33(1),Incite male child family member 13-17 engage sex act off u18 penetrate anus vagina mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.33(1),Incite female child family member 13 to 17 to engage sexual activity offender under 18 - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.33(1),Incite male child family member 13/17 to engage in sexual activity offender under 18 - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.33(1),Incite female family member 13/17 engage sex act-offender 18+ penetrate anus/vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.33(1),Incite male family member 13/17 engage sex act offender 18+ - penetrate anus/ vagina mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.33(1),Incite female child family member u13 engage sex act off u18 penetrate anus vagina mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.33(1),Incite male child family member u13 engage sex act off u18 penetrate anus vagina mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.33(1),Incite female child family member under 13 engage in sexual activity - offender under 18 - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.33(1),Incite male child family member under 13 to engage in sexual activity - offender under 18 - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.33(1),Incite female family member u13 engage sex act - offender 18+ - penetrate anus/vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.33(1),Incite male family member u13-engage sex act-offender 18+ - penetrate anus/vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.33(1),Incite female child family member under 13 offender 18 or over to engage in sexual activity no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.33(1),Incite male child family member under 13 offender 18 or over to engage in sexual activity no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.37(1)(C)(I),Paid for sexual services of a female child under 18 no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.37(1)(C)(I),Paid for sexual services of a male child under 18 no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.37(1)(C)(II),Paid for sexual services of female child under 13 penetration of anus/vagina/ mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.37(1)(C) (II),Paid for sexual services of male child under 13 penetration of anus/vagina/ mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.37(1)(C)(I) ,Paid for sexual services of female child 13 to 15 - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.37(1)(C)(I),Paid for sexual services of male child 13 to 15 - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.37(1)(C)(I),Paid for sexual services of male child 13 to 15 penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.37(1)(C)(I),Paid for sexual services of female child 13 to 15 - penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.37(1)(C )(I),Paid for sexual services of female child 16 or 17
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.37(1)(C)(I),Paid for sexual services of male child 16 or 17
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.38(1)(B)(II),Cause/incite/prostitution of/pornography involving a child under 13
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.38(1)(B)(I),Cause/incite prostitution of/pornography involving child 13 to 18
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.39(1)(B)(II),Control child under 13 - prostitution of/involvement in pornography
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.39(1)(B)(I),Control child 13 to 18 - prostitution of/involvement in pornography
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.40(1)(B)(II),Arrange /facilitate child under 13 - prostitution of/involment in pornography
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.40(1)(B)(I),Arrange/facilitate child 13 to 18 - prostitution of /involvement in pornography
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.43(1),Sexual activity with a female with mental disorder - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.43(1),Sexual activity with a male with a mental disorder - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.43(1),Sexual activity with female with mental disorder - penetration of anus/vagina /mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.43(1),Sexual activity with male with mental disorder - penetration of anus/vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.43(1),Sexual activity with a female with mental disorder - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.43(1),Sexual activity with a male with a mental disorder - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.43(1),Sexual activity with female with mental disorder - penetration of anus/vagina /mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.43(1),Sexual activity with male with mental disorder - penetration of anus/vagina/ mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.44(1),Sexual activity with a person with mental disorder - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.44(1),Cause/incite sexual activity with a female with a mental disorder/learning disability no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.44(1),Cause/incite sexual activity with a male with a mental disorder/learning disability no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.44(1),Sexual activity with person with mental disorder - penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.44(1),Cause/incite sexual activity with female with mental disorder penetrate anus/vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.44(1),Cause/incite sexual activity with male with mental disorder - penetrate anus/ vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.44(1),Cause/incite sexual activity with a female with a mental disorder/learning disability no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.44(1),Cause/incite sexual activity with a male with a mental disorder/learning disability no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.44(1),Cause/incite sexual activity with female with mental disorder penetrate anus/vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.44(1),Cause/incite sexual activity with male with mental disorder - penetrate anus/ vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHEN IRELAND) ORDER 2008 ARTICLE.45(1),Cause/incite sexual activity with a person  with a mental disorder/learning disability no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.45(1),Engage in sexual activity in presence of a person with a mental disorder
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.45(1),Engage in sexual activity in presence of a person with a mental disorder
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.46(1),Cause/incite sexual activity with person with mental disorder - penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.46(1),Cause a person with a mental disorder/learning disability to watch a sexual act
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.46(1),Cause a person with a mental disorder/learning disability to watch a sexual act
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.47(1),Engage in sexual activity in presence of a person with a mental disorder
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.47(1),Procure sexual activity with person with mental disorder by inducement/threat /deception - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.47(1),Procure sexual activity with person with mental disorder by inducement/threat/deceive penetrate anus/vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.47(1),Procure sexual activity with person with mental disorder by inducement/threat /deception - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.47(1),Procure sex act person mental disorder by induce/threat/deceive penetrate anus/vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.48(1),Cause a person with a mental disorder/learning disability to watch a sexual act
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.48(1),Cause person with mental disorder engage/agree to sex act-inducement/threat/ deception-no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.48(1),Cause person with mental disorder engage/agree to sex act-inducement/threat/deception -penetration anus/vagina/mouth
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.48(1),Cause person with mental disorder engage/agree to sex act-inducement/threat/ deception-no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.48(1),Cause person mental disorder engage/agree sex act-inducement/threat/deception -penetration anus/vagina/mouth
SEXUAL OFFENCES 9NORTHERN IRELAND) ORDER 2008 ARTICLE.49(1),Engage in sex act in presence of person with mental disorder-presence agreed by inducement/threat/deception
SEXUAL OFFENCES (NORTHEN IRELAND) ORDER 2008 ARTICLE.50(1),Procure sexual activity with person with mental disorder by inducement/threat /deception
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.50(1),Cause a person with mental disorder to watch a sexual act by deception/threat /inducement
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.50(1),Cause a person with mental disorder to watch a sexual act by deception/threat /inducement
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.50(1),Cause person with mental disorder engage/agree to sex act-inducement/threat/ deception
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.50(1),Cause a person with mental disorder to watch a sexual act by deception/threat /inducement
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.51(1),Sexual activity with female person with mental disorder/learning disorder - care worker - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.51(1),Sexual activity with male person with a mental disorder/learning disability - care worker - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.51(1),Sex act female mental disorder/learning disability-careworker- penetrate anus vagina mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.51(1),Sex act male mental disorder/learning disability-care worker-penetrate anus/ vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.51(1),Sexual activity with female person with mental disorder/learning disorder - care worker - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.51(1),Sexual activity with male person with a mental disorder/learning disability - care worker - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.51(1),Sex act female mental disorder/learning disability-careworker- penetrate anus vagina mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.51(1),Sex act male mental disorder/learning disability-careworker-penetrate anus/ vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.52(1),Sexual activity with person with mental disorder/learning disorder - care worker - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.52(1),Cause/incite person with mental disorder/learning disability engage in sex act -care worker - no penetration 
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.52(1),Sex act person mental disorder/learning disability-care worker- penetration
SEXUAL OFFENCES (NORTHERN IRELAND) 0RDER 2008 ARTICLE.52(1),Cause/incite person with mental disorder/learning disability engage in sex act - care worker-penetrate anus/vagina/mouth
SEXUAL OFFENCES NORTHERN IRELAND)ORDER 2008 ARTICLE.52(1),Cause/incite person with mental disorder/learning disability engage in sex act - care worker-penetrate anus/vagina/mouth
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.52(1),Cause/incite person with mental disorder/learning disability engage in sex act - care worker - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.52(1),Cause incite person mental disorder/learning difficulty engage sex act- careworker-penetrate anus/vagina/mouth
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.53(1),Sexual activity in presence of person with mental disorder/learning disability - care worker
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.54(1),Cause person with mental disorder/learning disability to watch sexual activity - care worker
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.54(1),Sexual activity in presence of person with mental disorder/learning disability - care worker
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.54(1),Cause person with mental disorder/learning disability to watch sexual activity - care worker
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.54(1),Cause incite person mental disorder/learning difficulty engage sex act- care worker-penetrate anus/vagina/mouth
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.54(1),Cause person with mental disorder/learning disability to watch sexual activity - care worker
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.62(1),Cause/incite prostitution for gain
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.63(1),Control prostitution for gain
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.65(1),Administer substance with intent to stupefy/overpower person to allow sexual activity involving that person
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.66(1),Commit any offence other than by means of kidnap/false imprisonment w/i to commit relevant sexual offence
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.66(1),Commit any offence by kidnap/false imprisonment w/i to commit a sexual offence
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.67(1),Trespass with intent to commit a relevant sexual offence
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.68(1),Penetrative sex by person over 16 on adult relative over 18
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.69(1),Penetrative sex on a consenting person over 16 by an adult relative over 18
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.70(1),Exposure
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.71(1),Voyeurism - observe person doing a private act
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.71(2),Voyeurism - operate equipment to enable another to observe a person doing a private act
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.71(3),Voyeurism - record a person doing a private act
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.71(4),Voyeurism - install equipment/construct/adapt structure w/i enabling one to record person doing private act
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.73(1),Male person perform intercourse with an animal
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008  ARTICLE.73(2),Female person allows/causes intercourse with an animal
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.73(2),Male person allow/cause intercourse by an animal on him
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.74(1),Sexual penetration of a corpse
"SEXUAL OFFENCES (SCOTLAND) ACT 1976, S1",Procuring 
"SEXUAL OFFENCES (SCOTLAND) ACT 1976, S2","Procuring by threats, etc"
"SEXUAL OFFENCES (SCOTLAND) ACT 1976, S2A",Incest
"SEXUAL OFFENCES (SCOTLAND) ACT 1976, S2B",Intercourse with step-child
"SEXUAL OFFENCES (SCOTLAND) ACT 1976, S2C",Intercourse of person in position of trust with child under 16
"SEXUAL OFFENCES (SCOTLAND) ACT 1976, S3",Intercourse with girl under 13 
"SEXUAL OFFENCES (SCOTLAND) ACT 1976, S4",Intercourse with girl between 13 and 16
"SEXUAL OFFENCES (SCOTLAND) ACT 1976, S5",Indecent behaviour towards girl between 12 and 16
"SEXUAL OFFENCES (SCOTLAND) ACT 1976, S7",Gross indecency between males
"SEXUAL OFFENCES (SCOTLAND) ACT 1976, S8",Abduction of girl under 18 with intent to have sexual intercourse
"SEXUAL OFFENCES (SCOTLAND) ACT 1976, S9",Unlawful detention with intent to have sexual intercourse
"SEXUAL OFFENCES (SCOTLAND) ACT 1976, S10",Permitting girl to use premises for intercourse
"SEXUAL OFFENCES (SCOTLAND) ACT 1976, S11","Causing on encouraging seduction, prostitution, etc, of girl under 16"
"SEXUAL OFFENCES (SCOTLAND) ACT 1976, S12",Persons trading in prostitution
"SEXUAL OFFENCES (SCOTLAND) ACT 1976, S13",Brothel keeping
"SEXUAL OFFENCES (SCOTLAND) ACT 1976, S14",Allowing child to be in brothel
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S1,Rape
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S2,Sexual assault by penetration
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S3,Sexual assault
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S4,Sexual coercion
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S5,Coercing a person into being present during a sexual activity (offence committed against a child under 16)
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S6,Coercing a person into looking at a sexual image (offence committed against a child under 16)
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S8,Sexual exposure (offence committed against a child under 16)
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S9,Voyeurism (offence committed against a child under 16)
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S11,Administering a substance for sexual purposes
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S18,Rape of a young child
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S19,Sexual assault on a young child by penetration
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S20(1) (2)(A) AND (3),Sexual assault on a young child  
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S21,Causing a young child to participate in a sexual activity
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S22,Causing a young child to be present during a sexual activity
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S23,Causing a young child to look at a sexual image
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S24,Communicating indecently with a young child etc.
